gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
gene_3178,98.4475097378654,-1.15412814170845,0.31504633875691,-3.66335995606975,2.48928339533317e-4,0.00107650752994273,1.15412814170845,-2.2254979034828
gene_3806,4845.98265045533,0.763752294232753,0.208513994837207,3.66283469284179,2.49439519947244e-4,0.00107790831592818,0.763752294232753,1.697900944124
gene_4808,247.031043854869,-0.915839925315901,0.250159642605451,-3.66102188097683,2.51211301190574e-4,0.0010841751346758,0.915839925315901,-1.8866671544266
gene_385,229.135321126716,6.33369441684266,1.73006113933752,3.66096565770386,2.51266440176775e-4,0.0010841751346758,6.33369441684266,80.6551313575022
gene_1289,10528.5541637383,1.34824420022773,0.368463296942271,3.65910040814449,2.5310216550636e-4,0.00109053042288464,1.34824420022773,2.54602079061633
gene_3855,917.6559854976,-1.08991070244158,0.297864346995984,-3.6590841214584,2.53118249647998e-4,0.00109053042288464,1.08991070244158,-2.12860860772391
gene_2993,1544.63341931041,-0.694141970318472,0.189918855288839,-3.65493973340763,2.57242399100666e-4,0.00110746989470713,0.694141970318472,-1.61792190264006
gene_1212,607.491046672424,-0.890097584235941,0.243603422433466,-3.65387963495894,2.58307395283394e-4,0.00111122374234022,0.890097584235941,-1.85330147729425
gene_397,76.7195732141987,-1.42430314762554,0.389955243247293,-3.65247851462355,2.59721332854738e-4,0.00111647198798497,1.42430314762554,-2.68384833662489
gene_2416,463.919859961791,1.47314399096079,0.403880275284474,3.64747694084139,2.64828070031488e-4,0.0011375749038069,1.47314399096079,2.77626251443815
gene_2245,1220.54161443515,0.730993965018475,0.200580430887245,3.64439323310358,2.68023367384517e-4,0.00115044183643943,0.730993965018475,1.6597822280799
gene_4643,1000.2116737912,0.904136775721063,0.248149052154057,3.64352298698184,2.68931622251845e-4,0.00115348019201313,0.904136775721063,1.87142440896401
gene_3552,4516.14159591127,0.920252405408916,0.252626168774263,3.64274378174661,2.69747307275241e-4,0.00115611727526157,0.920252405408916,1.89244635573432
gene_86,102.344158412601,-1.37373452865929,0.377199296121776,-3.64193290598238,2.70598607460763e-4,0.00115890296469059,1.37373452865929,-2.59140504070667
gene_1298,224.26582408246,0.932159614428991,0.256081813253743,3.64008518443809,2.72547859089244e-4,0.00116638325421389,0.932159614428991,1.90813019786608
gene_3942,1373.16668644526,-0.748330115129821,0.205651846054835,-3.63882031445652,2.73889811961584e-4,0.00117125539201403,0.748330115129821,-1.67984732184359
gene_812,67.9320950637409,-1.33527397823595,0.367216040538646,-3.63620820124665,2.7668073385325e-4,0.00118231202973965,1.33527397823595,-2.52323395256577
gene_2085,1271.1904097243,-0.664483249922255,0.182776063245778,-3.63550477082291,2.77436859042159e-4,0.00118466362065777,0.664483249922255,-1.58500044995569
gene_3839,1403.4476945342,0.702664693809709,0.193297877656678,3.63513920756923,2.77830571301668e-4,0.0011854653583487,0.702664693809709,1.62750806638624
gene_3543,5343.47731262802,1.32560729144337,0.364729818933394,3.63449112913207,2.78529840103321e-4,0.00118756871084053,1.32560729144337,2.5063836982716
gene_294,471.589481604929,-1.00248745461778,0.275855973818968,-3.63409731802898,2.78955562768697e-4,0.00118850349318773,1.00248745461778,-2.00345131878905
gene_2046,667.103001136835,-1.18869165523334,0.327295776647075,-3.63185760418506,2.81388384935518e-4,0.00119798191101246,1.18869165523334,-2.27945930834482
gene_1158,754.190196795226,0.966972647624907,0.266505630911163,3.62833852447657,2.85251074582572e-4,0.00121352933133576,0.966972647624907,1.95473447222611
gene_3144,2692.82575464679,0.949389593098873,0.261725361893012,3.62742680431163,2.862598890649e-4,0.00121692165543395,0.949389593098873,1.93105545190015
gene_1352,536.161610896433,-0.762799852770672,0.210474345918118,-3.62419395790606,2.89864023876609e-4,0.00123133381655628,0.762799852770672,-1.69678039021471
gene_4331,771.929736886137,0.983971403281931,0.271573215407063,3.62322698800413,2.90950280715931e-4,0.0012350367373163,0.983971403281931,1.97790262691256
gene_392,328.29726798640303,-1.10178115813244,0.304336850944821,-3.62026864217046,2.94297299381528e-4,0.00124832369582909,1.10178115813244,-2.14619499258361
gene_276,234.355791688958,0.895074699299874,0.247486994696155,3.61665347465541,2.9843639986464e-4,0.00126494839294615,0.895074699299874,1.85970617387281
gene_153,1375.07068902799,1.15747506846362,0.320387889266959,3.61273040348653,3.0298967855705e-4,0.00128291469513711,1.15747506846362,2.23066685809695
gene_2386,140.634888441496,-1.25575906599113,0.347603597498466,-3.61261815190698,3.0312091476485e-4,0.00128291469513711,1.25575906599113,-2.38792755043032
gene_3036,2717.58740367881,-0.781608892233118,0.216479006500193,-3.6105528423719,3.05545041320709e-4,0.00129222428937693,0.781608892233118,-1.71904688387395
gene_19,1941.16912190565,3.31719023234198,0.919124719000907,3.60907520357823,3.07290525152423e-4,0.00129819356657769,3.31719023234198,9.96721350483076
gene_970,200.340551834003,1.13837270833528,0.315428136788554,3.60897642146105,3.07407545386621e-4,0.00129819356657769,1.13837270833528,2.20132583960946
gene_3672,268.668529791644,-0.838477506425808,0.232499913956726,-3.60635620098281,3.10526811403498e-4,0.0013094449277938,0.838477506425808,-1.78816207665513
gene_4645,968.100349058601,-1.08853952895029,0.301922756298263,-3.60535768252905,3.1172328628871e-4,0.00131352799112578,1.08853952895029,-2.12658648589356
gene_351,3307.54686342143,0.85429736566509,0.237022105524236,3.6042940542427,3.13002525705886e-4,0.00131795357568623,0.85429736566509,1.80787805162107
gene_3635,388.324901468248,0.825487346837946,0.229068437198277,3.60367127367889,3.1375383155956e-4,0.0013201513555971,0.825487346837946,1.77213356929592
gene_2410,108.00055007861,1.25241894071691,0.347600574632633,3.60304047840124,0.00031451652693756903,0.00132239381231019,1.25241894071691,2.38240541922807
gene_68,172.591709014434,1.10110512669113,0.305622130227496,3.6028317905889,3.14769233496083e-4,0.00132249029781274,1.10110512669113,2.14518954419073
gene_90,150.743103990328,-1.0754078385322,0.298585368358109,-3.60167627920202,3.16171921686948e-4,0.00132741472008029,1.0754078385322,-2.10731770984391
gene_4515,1955.6038493664,1.35755902947758,0.377254931272053,3.59851897734,3.20034501283298e-4,0.00134265203308066,1.35755902947758,2.56251247751311
gene_227,124.551049543939,-1.18518617340502,0.329385902244188,-3.59816909385026,3.20465249743466e-4,0.00134347995449628,1.18518617340502,-2.27392736779436
gene_3745,5439.71377332534,-0.733409964237229,0.203899970591889,-3.59691059350453,3.22019104931987e-4,0.00134869300948951,0.733409964237229,-1.66256409951791
gene_4107,505.004122270498,3.84676065766746,1.06950042245058,3.59678273791912,3.22177360675482e-4,0.00134869300948951,3.84676065766746,14.387665890315
gene_1318,608.941789578311,1.08443759304489,0.301549317455203,3.59621969035295,3.22875150330772e-4,0.00135063180618018,1.08443759304489,2.1205486664146602
gene_70,1008.07837918133,1.18108556305364,0.32877100056023,3.59242622080736,3.27613426377185e-4,0.00136846363006319,1.18108556305364,2.26747330039805
gene_1594,1834.24838560167,1.02667292755253,0.285784258113549,3.59247543699418,3.27551537837611e-4,0.00136846363006319,1.02667292755253,2.03732046128635
gene_2685,105.55179083706,1.60072135927216,0.445695107114625,3.5915165630492,3.28759278137988e-4,0.00137219633465996,1.60072135927216,3.03294925328501
gene_1554,63.323222466045,1.49564879458995,0.41645997302418303,3.59133864349336,3.28983832840643e-4,0.00137219633465996,1.49564879458995,2.8199093670171
gene_4224,92.6855866035356,-1.16726147509296,0.325077790731482,-3.59071431015454,3.29772948550167e-4,0.00137449173921416,1.16726147509296,-2.2458498467144
gene_4824,130.835036119771,-1.02678834818772,0.286006946176291,-3.59008185610577,3.30574134041237e-4,0.00137683409228753,1.02678834818772,-2.03748346054931
gene_1491,3461.26437579852,0.877474558465962,0.244548866916256,3.5881358582064,3.33050741122774e-4,0.00138514455628807,0.877474558465962,1.83715653740386
gene_488,1263.49912616229,1.1102193250189,0.309399475185248,3.5883038403804,3.32836273032607e-4,0.00138514455628807,1.1102193250189,2.15878463625862
gene_2094,380.150459959075,0.904338630733819,0.252076374819231,3.58755806204505,3.33789419292121e-4,0.00138721436638661,0.904338630733819,1.87168626806479
gene_1311,230.336824607272,1.60899177385262,0.448692618762907,3.58595552181976,3.35846202195684e-4,0.0013947552235486,1.60899177385262,3.05038591337339
gene_4716,349.616023783349,1.02571480202753,0.286078729111688,3.58542840711194,3.36525316067276e-4,0.0013965679302691,1.02571480202753,2.03596788112301
gene_335,15865.0846538218,1.11767774875795,0.311798976403021,3.58461006399608,3.37582183440318e-4,0.00139893667954102,1.11767774875795,2.16997398787503
gene_1325,511.724871473085,0.882842846803994,0.246276478294286,3.58476316097491,3.37384227110054e-4,0.00139893667954102,0.882842846803994,1.84400535683756
gene_4791,52.7283551899119,2.63875819236365,0.737071784149181,3.58005590379455,3.43520706704504e-4,0.00142252171783534,2.63875819236365,6.22795358441217
gene_2901,2407.41043624394,-0.884724824573544,0.247319647839847,-3.57725248398562,3.47224749628133e-4,0.00143682649810175,0.884724824573544,-1.84641240857515
gene_503,91.4661726737675,1.46242288151579,0.409095846223713,3.57476834589043,3.50538125166276e-4,0.00144949529343181,1.46242288151579,2.7557077250462
gene_3600,3136.20249079445,-0.811773573341284,0.227165145196316,-3.57349527648596,3.5224760042653e-4,0.00145551844081487,0.811773573341284,-1.75536807384523
gene_2197,135.568157036687,-0.983457455410116,0.275343320011644,-3.57174982624792,3.5460406400338e-4,0.00146420444218325,0.983457455410116,-1.97719814136864
gene_3000,1215.62682190353,-0.683491665037287,0.191379519193623,-3.57139399198606,3.55086267445102e-4,0.00146514448416775,0.683491665037287,-1.60602201043262
gene_3252,579.302479583929,1.10668455080846,0.310562446868324,3.56348477405474,3.65963931544259e-4,0.0015089458380865,1.10668455080846,2.15350183187578
gene_2811,596.749557799542,1.21005899167495,0.339654776637924,3.56261438055642,3.67179842164407e-4,0.00151179339878278,1.21005899167495,2.31347096350337
gene_4569,71.4329423610179,-1.50456366694743,0.422309691004715,-3.56270220408139,3.67056984525344e-4,0.00151179339878278,1.50456366694743,-2.83738843427554
